"sample_id","cell_line","treatment"
"DB_UT","DB","UT"
"DB_ADR","DB","ADR"
"Karpas422_UT","Karpas422","UT"
"Karpas422_ADR","Karpas422","ADR"
"RCK8_UT","RCK8","UT"
"RCK8_ADR","RCK8","ADR"
"SUDHL10_UT","SUDHL10","UT"
"SUDHL10_ADR","SUDHL10","ADR"
"U2932_UT","U2932","UT"
"U2932_ADR","U2932","ADR"
"WSUDLCL2_UT","WSUDLCL2","UT"
"WSUDLCL2_ADR","WSUDLCL2","ADR"
"OCILY1_UT","OCILY1","UT"
"OCILY1_ADR","OCILY1","ADR"
"OCILY18_UT","OCILY18","UT"
"OCILY18_ADR","OCILY18","ADR"
"RI1_UT","RI1","UT"
"RI1_ADR","RI1","ADR"
"SUDHL2_UT","SUDHL2","UT"
"SUDHL2_ADR","SUDHL2","ADR"
"SUDHL4_UT","SUDHL4","UT"
"SUDHL4_ADR","SUDHL4","ADR"
"TOLEDO_UT","TOLEDO","UT"
"TOLEDO_ADR","TOLEDO","ADR"
"CARNAVAL_UT","CARNAVAL","UT"
"CARNAVAL_ADR","CARNAVAL","ADR"
"DOHH2_UT","DOHH2","UT"
"DOHH2_ADR","DOHH2","ADR"
"NUDHL1_UT","NUDHL1","UT"
"NUDHL1_ADR","NUDHL1","ADR"
"OCILY7_UT","OCILY7","UT"
"OCILY7_ADR","OCILY7","ADR"
"SUDHL5_UT","SUDHL5","UT"
"SUDHL5_ADR","SUDHL5","ADR"
"SUDHL6_UT","SUDHL6","UT"
"SUDHL6_ADR","SUDHL6","ADR"
